run_id,ts_lectura,codigo,actividad,grupo,profesores_raw,profesores_norm,cupos_disponibles,cupos_totales,orden_lectura
gh-31624873304-0812T1753,2026-08-12T12:55:42-05:00,2029512,CLASE TEORICA,(1) Grupo 1 - Clase Presencial,David Alberto Roll Velez,david alberto roll velez,50,NA,84
gh-31624873304-0812T1753,2026-08-12T12:55:43-05:00,2026702,NA,(1) Grupo 1,Daniel Alberto Libreros Caicedo,daniel alberto libreros caicedo,30,NA,85
gh-31624873304-0812T1753,2026-08-12T12:55:45-05:00,2026205,NA,(1) Grupo 1,Diego Isaías Peña Porras,diego isaias pena porras,20,NA,87
gh-31624873304-0812T1753,2026-08-12T12:55:47-05:00,2025976,CLASE TEORICA,(1) Grupo 1 - Clase presencial,Antonio Jose Mejia Umaña,antonio jose mejia umana,24,NA,88
gh-31624873304-0812T1753,2026-08-12T12:55:49-05:00,2022180,CLASE TEORICO PRACTICA,(1) Grupo 1,Juan De La Cruz Sanchez Ramirez,juan de la cruz sanchez ramirez,62,NA,90
gh-31624873304-0812T1753,2026-08-12T12:55:55-05:00,2029398,CLASE TEORICA,(1) GRUPO 1,JUAN GABRIEL GOMEZ ALBARELLO,juan gabriel gomez albarello,20,NA,94
gh-31624873304-0812T1753,2026-08-12T12:55:56-05:00,2023915,CLASE TEORICA,(1) GRUPO 1 (2023915),Alvaro Daniel Reyes Gomez,alvaro daniel reyes gomez,55,NA,95
gh-31624873304-0812T1753,2026-08-12T12:55:58-05:00,2015633,CLASE TEORICA,(1) Grupo 1 - 2015633,Alvaro Daniel Reyes Gomez,alvaro daniel reyes gomez,55,NA,96
gh-31624873304-0812T1753,2026-08-12T12:55:59-05:00,2029789,CLASE TEORICA,(1) Grupo 1 - Clase presencial,CLARA ROCIO RODRIGUEZ PICO,clara rocio rodriguez pico,0,NA,97
gh-31624873304-0812T1753,2026-08-12T12:56:03-05:00,2025336,CLASE TEORICA,(1) Grupo 1 - Clase Presencial,No informado,NA,25,NA,100
gh-31624873304-0812T1753,2026-08-12T12:56:03-05:00,2025336,CLASE TEORICA,(2) Grupo 2 - Clase Presencial,No informado,NA,25,NA,100
gh-31624873304-0812T1753,2026-08-12T12:56:04-05:00,2025814,CLASE TEORICA,(1) Electiva en Lengua Coreana II,No informado,NA,25,NA,101
gh-31624873304-0812T1753,2026-08-12T12:56:06-05:00,2027941,CLASE TEORICA,(1) Grupo 1 - Clase Presencial,EDMON CASTELL GINOVART,edmon castell ginovart,200,NA,103
